NOW,TEAM_ID,millis,count,altp,temp,umi,p,gp,gr,gy,ap,ar,ay,hora,data,alt,lat,lon,sat,pqd,rssi
2025-10-31 21:00:12,#100,286709,715,0.33,21.28,nan,922.27,-0.03,-0.64,-0.02,-3.66,7.63,10.81,00:00:06,2025/11/01,919.20,-22.28666983,-42.54150583,5,1,-101
2025-10-31 21:00:12,#100,287088,716,-0.03,21.27,nan,922.31,1.37,0.44,-0.22,-1.76,2.18,4.14,00:00:06,2025/11/01,919.20,-22.28666983,-42.54150583,5,1,-98
2025-10-31 21:00:13,#100,287465,717,-0.10,21.26,nan,922.32,-0.42,0.20,0.92,-1.94,4.20,7.85,00:00:07,2025/11/01,919.20,-22.28668383,-42.54150617,5,1,-98
2025-10-31 21:00:13,#100,287973,718,0.34,21.25,nan,922.27,0.27,0.09,-0.50,-1.98,3.50,5.51,00:00:07,2025/11/01,919.20,-22.28668383,-42.54150617,5,1,-98
2025-10-31 21:00:14,#100,288348,719,0.34,21.25,nan,922.27,0.44,0.09,0.35,-0.95,3.60,9.60,00:00:07,2025/11/01,919.20,-22.28668383,-42.54150617,5,1,-92
2025-10-31 21:00:14,#100,289105,721,0.58,21.23,nan,922.25,-0.08,-0.51,-0.28,-3.79,3.58,7.75,00:00:08,2025/11/01,919.20,-22.28669850,-42.54150717,5,1,-97
2025-10-31 21:00:15,#100,289857,723,0.71,21.22,nan,922.23,0.12,-0.45,-0.21,-2.69,5.69,7.46,00:00:09,2025/11/01,919.20,-22.28671217,-42.54150467,5,1,-97
2025-10-31 21:00:15,#100,290624,725,0.46,21.22,nan,922.26,0.17,0.06,-0.15,-2.11,4.82,8.90,00:00:10,2025/11/01,919.20,-22.28672400,-42.54150133,5,1,-102
2025-10-31 21:00:16,#100,291395,727,0.55,21.21,nan,922.26,0.36,-0.08,-0.07,-1.40,6.35,9.97,00:00:10,2025/11/01,919.20,-22.28672400,-42.54150133,5,1,-95
2025-10-31 21:00:16,#100,291778,728,0.29,21.21,nan,922.28,-0.04,-0.39,-0.00,-2.17,4.30,8.84,00:00:11,2025/11/01,919.10,-22.28673933,-42.54150817,5,1,-98
2025-10-31 21:00:17,#100,293341,732,0.62,21.25,nan,922.24,-0.48,0.28,0.07,-4.11,4.35,10.92,00:00:12,2025/11/01,919.10,-22.28675083,-42.54150767,5,1,-92
2025-10-31 21:00:17,#100,294560,735,0.37,21.25,nan,922.27,-0.19,0.72,0.51,-1.44,2.70,6.10,00:00:14,2025/11/01,919.10,-22.28677133,-42.54150733,5,1,-92
2025-10-31 21:00:19,#100,295290,737,0.96,21.23,nan,922.21,0.52,0.35,-0.56,-3.46,3.82,8.95,00:00:14,2025/11/01,919.10,-22.28677133,-42.54150733,5,1,-100
2025-10-31 21:00:19,#100,295651,738,0.68,21.21,nan,922.24,-0.46,0.14,0.24,-0.68,3.05,6.61,00:00:15,2025/11/01,919.10,-22.28678100,-42.54150967,5,1,-105
2025-10-31 21:00:23,#100,297125,w02&1.05&2-RIma,922.19,0.10,0.03,0.18,-1.38,6.59,8.25,00:00:16,2025/11/01,919.10,-22.28679667,-42.54152500,5,1,-109
2025-10-31 21:00:25,#100,298235,745,1.01,21.12,nan,922.20,-0.24,0.35,0.29,-3.23,4.89,8.91,00:00:17,2025/11/01,919.10,-22.28681000,-42.54153117,5,1,-107
2025-10-31 21:00:26,#100,299357,748,0.94,21.11,nan,922.21,-0.92,0.32,-0.18,-0.99,4.86,9.67,00:00:18,2025/11/01,919.00,-22.28682200,-42.54154033,5,1,-109
2025-10-31 21:00:27,#100,300611,751,1.58,21.10,nan,922.14,-0.03,0.18,0.00,0.29,7.03,7.48,00:00:20,2025/11/01,919.10,-22.28684383,-42.54154950,5,1,-104
2025-10-31 21:00:27,#100,301372,753,1.81,21.09,nan,922.11,-0.26,0.08,0.40,-1.23,3.83,8.35,00:00:20,2025/11/01,919.10,-22.28684383,-42.54154950,5,1,-110
2025-10-31 21:00:28,#100,302127,755,2.42,21.08,nan,922.04,-0.42,0.78,0.86,-2.64,1.12,5.95,00:00:21,2025/11/01,919.00,-22.28684883,-42.54156333,5,1,-103
2025-10-31 21:00:28,#100,302877,757,2.31,21.07,nan,922.06,-0.23,0.67,0.77,-3.00,2.53,6.50,00:00:22,2025/11/01,919.10,-22.28685000,-42.54157117,5,1,-105
2025-10-31 21:00:29,#100,303638,759,2.77,21.07,nan,922.01,0.03,-0.01,0.08,-2.69,4.32,6.91,00:00:23,2025/11/01,919.10,-22.28685600,-42.54157917,5,1,-108
2025-10-31 21:00:29,#100,304781,762,3.26,21.06,nan,921.95,-0.47,0.39,0.37,-3.26,1.96,8.19,00:00:24,2025/11/01,919.10,-22.28687233,-42.54157950,5,1,-111
2025-10-31 21:00:30,#100,305928,765,3.55,21.02,nan,921.92,-0.51,0.98,0.44,-3.30,4.30,10.05,00:00:25,2025/11/01,919.10,-22.28688133,-42.54159267,5,1,-115
2025-10-31 21:00:31,#100,306794,767,4.07,21.02,nan,921.86,0.03,0.33,0.21,-3.26,3.63,7.99,00:00:26,2025/11/01,919.10,-22.28689217,-42.54159333,5,1,-104
2025-10-31 21:00:40,#100,310100,776,5.00,21.01,nan,921.76,-0.25,0.45,0.64,-2.28,3.35,8.05,00:00:29,2025/11/01,919.10,-22.28689667,-42.54160383,5,1,-113
2025-10-31 21:00:41,#100,310467,777,4.67,20.99,nan,921.80,-0.13,-0.27,0.32,-1.59,4.24,7.12,00:00:30,2025/11/01,919.10,-22.28687850,-42.54160250,5,1,-104
2025-10-31 21:00:41,#100,311218,779,5.29,20.98,nan,921.73,-0.29,-0.41,0.29,-1.26,5.12,9.84,00:00:30,2025/11/01,919.10,-22.28687850,-42.54160250,5,1,-109
2025-10-31 21:00:42,#100,311970,781,5.59,20.98,nan,921.70,-0.72,0.57,0.43,-2.59,2.49,5.07,00:00:31,2025/11/01,919.00,-22.28688017,-42.54160300,5,1,-112
2025-10-31 21:00:42,#100,312475,782,5.57,20.97,nan,921.70,0.11,0.53,0.92,-0.95,3.83,8.01,00:00:32,2025/11/01,919.00,-22.28688400,-42.54161933,5,1,-104
2025-10-31 21:00:44,#100,313591,785,5.66,20.99,nan,921.69,-0.12,-0.01,0.20,-2.27,4.11,8.53,00:00:33,2025/11/01,918.90,-22.28689450,-42.54163133,5,1,-107
2025-10-31 21:00:44,#100,314346,787,5.52,21.05,nan,921.71,0.07,0.79,0.93,-2.25,5.09,6.72,00:00:33,2025/11/01,918.90,-22.28689450,-42.54531006,1,-117
2025-10-31 21:00:45,#100,315109,789,5.59,21.06,nan,921.70,-0.60,0.71,1.28,-1.36,4.90,9.57,00:00:34,2025/11/01,918.90,-22.28690600,-42.54164333,5,1,-105
2025-10-31 21:00:46,#100,315862,791,5.98,21.08,nan,921.66,-0.68,-0.16,-0.12,-3.00,5.26,7.86,00:00:35,2025/11/01,918.90,-22.28690817,-42.54164450,5,1,-108
2025-10-31 21:00:47,#100,317414,795,6.21,21.08,nan,921.63,0.12,-0.20,-0.01,-0.87,6.57,9.56,00:00:36,2025/11/01,918.90,-22.28692083,-42.54164817,5,1,-104
2025-10-31 21:00:48,#100,318630,798,6.45,21.05,nan,921.60,0.44,-0.45,-0.02,-1.35,6.45,7.60,00:00:38,2025/11/01,918.80,-22.28692517,-42.54166583,5,1,-114
2025-10-31 21:00:48,#100,318997,799,6.76,21.06,nan,921.57,-0.77,0.49,0.62,-1.49,5.53,8.56,00:00:38,2025/11/01,918.80,-22.28692517,-42.54166583,5,1,-103
2025-10-31 21:00:49,#100,319366,800,7.20,21.08,nan,921.52,0.06,0.09,0.56,-1.13,5.47,7.36,00:00:38,2025/11/01,918.80,-22.28692517,-42.54166583,5,1,-106
2025-10-31 21:00:49,#100,320099,802,7.22,21.06,nan,921.52,-0.33,0.34,0.76,-1.44,4.17,7.84,00:p4z79,2025/11/01,918.70,-22.28693283,-42.54167100,5,1,-107
2025-10-31 21:00:52,#100,321205,805,7.60,21.05,nan,921.48,0.29,0.61,0.27,-3.11,5.84,9.99,00:00:40,2025/11/01,918.60,-22.28693133,-42.54166350,5,1,-110
2025-10-31 21:00:53,#100,321949,807,7.95,21.07,nan,921.44,-0.76,0.11,0.83,-1.39,5.16,9.50,00:00:41,2025/11/01,918.50,-22.28692917,-42.54165017,5,1,-101
2025-10-31 21:00:54,#100,322317,808,8.24,21.07,nan,921.41,0.29,-0.25,0.14,-0.67,6.14,9.67,00:00:41,2025/11/01,918.50,-22.28692917,-42.54165017,5,1,-103
2025-10-31 21:00:54,#100,323803,812,8.79,21.05,nan,921.35,-0.50,0.41,1.02,-1.72,2.68,8.10,00:00:43,2025/11/01,918.40,-22.28692700,-42.54164417,5,1,-108
2025-10-31 21:00:55,#100,324683,814,9.24,21.05,nan,921.31,-0.25,0.50,1.11,-1.51,3.52,8.81,00:00:44,2025/11/01,918.50,-22.28692567,-42.54164700,5,1,-104
2025-10-31 21:00:55,#100,325055,815,8.88,21.06,nan,921.34,-0.46,0.37,0.30,-2.47,4.30,9.68,00:00:44,2025/11/01,918.50,-22.28692567,-42.54164700,5,1,-98
2025-10-31 21:00:56,#100,325424,816,9.26,21.09,nan,921.30,-0.26,-0.13,0.19,-0.87,3.00,5.96,00:00:45,2025/11/01,918.50,-22.28692300,-42.54165067,5,1,-98
2025-10-31 21:00:56,#100,326180,818,9.06,21.14,nan,921.32,-0.35,0.92,0.96,-1.41,3.43,8.29,00:00:45,2025/11/01,918.40,-22.28692300,-42.54165067,5,1,-97
2025-10-31 21:00:58,#100,327698,822,9.33,21.11,nan,921.29,0.47,0.65,-0.51,-3.52,3.21,6.47,00:00:47,2025/11/01,918.40,-22.28692583,-42.54166517,5,1,-106
2025-10-31 21:00:58,#100,328468,824,9.57,21.11,nan,921.26,-0.20,-0.34,-0.11,-0.80,5.55,9.35,00:00:48,2025/11/01,918.40,-22.28692967,-42.54166717,5,1,-98
2025-10-31 21:00:59,#100,328853,825,9.25,21.13,nan,921.30,-0.42,0.44,0.22,-3.17,4.30,8.13,00:00:48,2025/11/01,918.40,-22.28692967,-42.54166717,5,1,-97
2025-10-31 21:00:59,#100,329269,826,9.51,21.13,nan,921.27,0.66,0.42,0.25,-2.24,3.46,6.87,00:00:48,2025/11/01,918.40,-22.28692967,-42.54166717,5,1,-99
2025-10-31 21:01:00,#100,330004,828,9.34,21.13,nan,921.29,-0.39,0.40,0.95,-2.05,5.27,10.29,00:00:49,2025/11/01,918.40,-22.28692833,-42.54167267,5,1,-108
